,Artists,Name,Year,Weekly.rank,Week,Max.Weeks.on.chart,Genre,acousticness,danceability,energy,key,tempo,valence,cluster
3897,Coldplay,Talk,2006,86,2006-03-01,6,"UK,Alternative Rock,Alternative,Rock",0.005529338270004894,0.3459335624284077,0.5297372060857537,0.6363636363636364,0.4415964080202788,0.1358286501961616,0
3898,21 Savage,1.5,2019,86,2019-01-05,0,"Motown,Trap,Rap",0.0002471171506255516,0.8843069873997709,0.4935631450154272,0.09090909090909091,0.2177391004015073,0.2874562612660375,1
3899,The Shins,Phantom Limb,2007,86,2007-02-07,0,Rock,0.0005957887343863638,0.4604810996563574,0.8670071284179168,0.8181818181818182,0.4388271791487551,0.4910401866185982,0
3900,Rick Ross,The Devil Is A Lie,2014,86,2014-03-21,0,Rap,0.001725648265341489,0.6494845360824743,0.8233854665389935,0.4545454545454546,0.334231739433449,0.6394867988548405,4
3901,DragonForce,Through The Fire And Flames,2008,86,2008-01-16,5,"Hard Rock,Heavy Metal,Google,Speed Metal,Memes,Power Metal,Metal,Rock",0.001797223077257198,0.0,0.95212256623045,0.0,0.9331869568703395,0.1103806595270915,1
3902,Flex,Te Quiero,2008,86,2008-07-31,17,"Latin Music,Reggae,Reggaeton,En Espa\xc3\xb1ol,Pop",0.003208269369309751,0.4845360824742269,0.576550696882647,0.09090909090909091,0.21731970716484,0.4560491994486269,1
3903,DMX,I Miss You,2002,86,2002-02-26,7,Rap,0.1554172193946309,0.7010309278350515,0.6935844238748803,0.5454545454545454,0.2582845583110787,0.5832891527939772,4
3904,Dennis Lloyd,Nevermind,2018,86,2018-08-11,4,"Alternative R&;B,Adult Alternative,Indie Pop,Alternative Dance,Dance,Dance-Pop,Alternative Pop,Pop,Electronic,R&;B",0.1625747005862018,0.5578465063001145,0.6723055644217469,0.4545454545454546,0.3161423223283725,0.04707878273777966,2
3905,Maroon 5,Give A Little More,2010,86,2010-09-02,0,Pop,0.0009557077885910731,0.7331042382588774,0.8170018087030536,0.0,0.4269916553080998,0.956526349273672,1
3906,The Script,The Man Who Can't Be Moved,2010,86,2010-09-09,6,"Pop-Rock,Pop,Ireland,Rock",0.4345589858658969,0.56815578465063,0.6095329290350037,0.9090909090909092,0.3160066362812154,0.3076025872123847,2
3907,Barenaked Ladies,Too Little Too Late,2001,86,2001-04-03,4,Rock,0.03149054504914572,0.4398625429553266,0.99042451324609,0.8181818181818182,0.5877364483560401,0.445445870003181,0
3908,Ronnie Dunn,Cost Of Livin',2011,86,2011-11-24,8,Country,0.9151327230142305,0.6288659793814433,0.248856261304394,0.3636363636363636,0.6147503068354929,0.2630686035415121,3
3909,Nicole Scherzinger,Don't Hold Your Breath,2011,86,2011-09-01,0,"Rap,R&;B",0.008975154215089754,0.6288659793814433,0.7850835195233535,0.4545454545454546,0.3838928326929363,0.6734174530802672,4
3910,The Band Perry,Chainsaw,2014,86,2014-07-11,9,"Country,Rock",0.1717771764039359,0.5670103092783505,0.7191190552186403,0.1818181818181818,0.2176404196399386,0.6585727918566429,1
3911,Vanessa Carlton,White Houses,2004,86,2004-11-10,6,Pop,0.3865016121510635,0.5647193585337915,0.5680391531013937,0.0,0.5330611388993394,0.2556462729296999,3
3912,Chris Cagle,Got My Country On,2012,86,2012-06-01,9,Pop,0.1891596307263224,0.4490263459335624,0.8329609532929035,0.6363636363636364,0.6872868341361424,0.504824514897678,0
3913,Jess Glynne,Hold My Hand,2015,86,2015-11-13,6,"House,Electronic,UK,Pop",0.001623398534033332,0.6059564719358533,0.8159378657303968,0.0,0.45799591708349,0.4199978793341109,1
